alias_id,variant_id,old_variant_id,historical_product_title,historical_variant_title,historical_sku,match_method,is_current_id,source,notes
4417,42913397211211,42913397211211,John Barr Reserve Blend Blended Scotch Whisky,1.75L,9240881,Current title + variant,1,current_variant_master,
4418,42913397538891,42913397538891,Gallo Family Vineyards Sweet Berry,750ML,9190478,Current title + variant,1,current_variant_master,
4419,42913397604427,42913397604427,Gallo Family Vineyards Sweet Pineapple,750ML,9190476,Current title + variant,1,current_variant_master,
4420,42913397669963,42913397669963,Gallo Family Vineyards Sweet Peach,750ML,9190479,Current title + variant,1,current_variant_master,
4421,42913397735499,42913397735499,Gallo Family Vineyards Pinot Grigio,750ML,9018731,Current title + variant,1,current_variant_master,
4422,42913397801035,42913397801035,Gallo Family Vineyards Pink Moscato California,750ML,9144845,Current title + variant,1,current_variant_master,
4423,42913397866571,42913397866571,Gallo Family Vineyards Moscato,750ML,9007515,Current title + variant,1,current_variant_master,
4424,42913397932107,42913397932107,Gallo Family Vineyards Chardonnay,750ML,1221746,Current title + variant,1,current_variant_master,
4425,42913398030411,42913398030411,Gallo Family Vineyards Cabernet Sauvignon,750ML,1221944,Current title + variant,1,current_variant_master,
4426,42913398194251,42913398194251,E&J Brandy XO,750ML,9016328,Current title + variant,1,current_variant_master,
4427,42913398227019,42913398227019,E&J Brandy XO,50ML,9010010,Current title + variant,1,current_variant_master,
4428,42913398292555,42913398292555,E&J Brandy VSOP,1L,220533,Current title + variant,1,current_variant_master,
4429,42913398325323,42913398325323,E&J Brandy VSOP,750ML,220541,Current title + variant,1,current_variant_master,
4430,42913398358091,42913398358091,E&J Brandy VSOP,200ML,220574,Current title + variant,1,current_variant_master,
4431,42913398718539,42913398718539,Carlo Rossi Sangria,750ML,9236102,Current title + variant,1,current_variant_master,
4432,42913398849611,42913398849611,Camarena Silver,750ML,9042965,Current title + variant,1,current_variant_master,
4433,42913398915147,42913398915147,Camarena Reposado,750ML,9119539,Current title + variant,1,current_variant_master,
4434,42913398947915,42913398947915,Black Box Sauvignon Blanc,500ML,,Current title + variant,1,current_variant_master,
4435,42913399013451,42913399013451,Black Box Pinot Noir,500ML,,Current title + variant,1,current_variant_master,
4436,42913399046219,42913399046219,Black Box Pinot Grigio,3L,9015878,Current title + variant,1,current_variant_master,
4437,42913399111755,42913399111755,Black Box Merlot,500ML,,Current title + variant,1,current_variant_master,
4438,42913399210059,42913399210059,Black Box Chardonnay Australia,500ML,,Current title + variant,1,current_variant_master,
4440,42913399406667,42913399406667,Barefoot Sauvignon Blanc,750ML,2113140,Current title + variant,1,current_variant_master,
4441,42913399439435,42913399439435,Barefoot Sauvignon Blanc,187ML,3016468,Current title + variant,1,current_variant_master,
4442,42913399504971,42913399504971,Barefoot Rose,750ML,9251933,Current title + variant,1,current_variant_master,
4443,42913399537739,42913399537739,Barefoot Rose,187ML,9263830,Current title + variant,1,current_variant_master,
4444,42913399636043,42913399636043,Barefoot Riesling,750ML,9078178,Current title + variant,1,current_variant_master,
4445,42913399668811,42913399668811,Barefoot Riesling,187ML,9257467,Current title + variant,1,current_variant_master,
4446,42913399701579,42913399701579,Barefoot Pinot Noir,750ML,9086348,Current title + variant,1,current_variant_master,
4447,42913399734347,42913399734347,Barefoot Pinot Noir,1.5L,9096135,Current title + variant,1,current_variant_master,
4448,42913399799883,42913399799883,Barefoot Pinot Grigio,750ML,9006139,Current title + variant,1,current_variant_master,
4449,42913399832651,42913399832651,Barefoot Pinot Grigio,187ML,9253411,Current title + variant,1,current_variant_master,
4451,42913399963723,42913399963723,Barefoot Chardonnay,1.5L,2112928,Current title + variant,1,current_variant_master,
4452,42913400029259,42913400029259,Barefoot Cabernet Sauvignon,750ML,2112241,Current title + variant,1,current_variant_master,
4453,42913400062027,42913400062027,Barefoot Cabernet Sauvignon,187ML,9257463,Current title + variant,1,current_variant_master,
4454,42913400193099,42913400193099,Arbor Mist Peach Moscato,750ML,3004077,Current title + variant,1,current_variant_master,
4455,42913400520779,42913400520779,Arbor Mist Mango Strawberry Moscato,1.5L,3004069,Current title + variant,1,current_variant_master,
4457,42913401339979,42913401339979,Yellow Tail Shiraz,750ML,,Current title + variant,1,current_variant_master,
4458,42913401372747,42913401372747,Yellow Tail Sauvignon Blanc,750ML,,Current title + variant,1,current_variant_master,
4459,42913401471051,42913401471051,Yellow Tail Pinot Noir,750ML,,Current title + variant,1,current_variant_master,
4460,42913401536587,42913401536587,Yellow Tail Pinot Grigio,1.5L,,Current title + variant,1,current_variant_master,
4461,42913401667659,42913401667659,Yellow Tail Merlot,1.5L,,Current title + variant,1,current_variant_master,
4462,42913401733195,42913401733195,Yellow Tail Cabernet Sauvignon,1.5L,,Current title + variant,1,current_variant_master,
4463,42913401798731,42913401798731,Yellow Tail Big Bold Red,1.5L,,Current title + variant,1,current_variant_master,
4464,42913401831499,42913401831499,Woodbridge Sauvignon Blanc,750ML,,Current title + variant,1,current_variant_master,
4466,42913401995339,42913401995339,Woodbridge Pinot Grigio,500ML,,Current title + variant,1,current_variant_master,
4467,42913402060875,42913402060875,Woodbridge Chardonnay,750ML,,Current title + variant,1,current_variant_master,
4468,42913402093643,42913402093643,Woodbridge Chardonnay,500ML,,Current title + variant,1,current_variant_master,
4469,42913402159179,42913402159179,Woodbridge Cabernet Sauvignon,750ML,,Current title + variant,1,current_variant_master,
4471,42913402323019,42913402323019,Wild Turkey Straight Bourbon 101,375ML,,Current title + variant,1,current_variant_master,
4472,42913402355787,42913402355787,Wild Turkey Straight Bourbon 101,750ML,,Current title + variant,1,current_variant_master,
4473,42913402388555,42913402388555,Wild Turkey Straight Bourbon 101,1L,,Current title + variant,1,current_variant_master,
4474,42913402421323,42913402421323,Wild Turkey Straight Bourbon 101,1.75L,,Current title + variant,1,current_variant_master,
4475,42913402519627,42913402519627,Wild Turkey Bourbon 81,750ML,,Current title + variant,1,current_variant_master,
